Categorie	Ecosysteem	Waarde	Variabele
alleen juridisch beschermd	Vlaanderen	257363	oppervlakte
alleen juridisch beschermd	Bos	80768	oppervlakte
alleen juridisch beschermd	Akker	47007	oppervlakte
alleen juridisch beschermd	Halfnatuurlijke graslanden	13254	oppervlakte
alleen juridisch beschermd	Productie en overige graslanden	40203	oppervlakte
alleen juridisch beschermd	Heide en landduinen	3044	oppervlakte
alleen juridisch beschermd	Moeras	1160	oppervlakte
alleen juridisch beschermd	Kustduinen en strand	964	oppervlakte
alleen juridisch beschermd	Estuaria, slikken en schorren	4435	oppervlakte
alleen juridisch beschermd	Rivieren	7422123	lengte
alleen juridisch beschermd	Stilstaande wateren	7581	oppervlakte
alleen juridisch beschermd	Stedelijk en bebouwd gebied	56467	oppervlakte
juridisch beschermd en beheerd	Vlaanderen	93843	oppervlakte
juridisch beschermd en beheerd	Bos	57101	oppervlakte
juridisch beschermd en beheerd	Akker	1569	oppervlakte
juridisch beschermd en beheerd	Halfnatuurlijke graslanden	14425	oppervlakte
juridisch beschermd en beheerd	Productie en overige graslanden	1221	oppervlakte
juridisch beschermd en beheerd	Heide en landduinen	6578	oppervlakte
juridisch beschermd en beheerd	Moeras	915	oppervlakte
juridisch beschermd en beheerd	Kustduinen en strand	1305	oppervlakte
juridisch beschermd en beheerd	Estuaria, slikken en schorren	664	oppervlakte
juridisch beschermd en beheerd	Rivieren	1145515	lengte
juridisch beschermd en beheerd	Stilstaande wateren	3428	oppervlakte
juridisch beschermd en beheerd	Stedelijk en bebouwd gebied	5449	oppervlakte
rest	Vlaanderen	1011569	oppervlakte
rest	Bos	10072	oppervlakte
rest	Akker	422215	oppervlakte
rest	Halfnatuurlijke graslanden	13593	oppervlakte
rest	Productie en overige graslanden	160415	oppervlakte
rest	Heide en landduinen	0	oppervlakte
rest	Moeras	0	oppervlakte
rest	Kustduinen en strand	1901	oppervlakte
rest	Estuaria, slikken en schorren	481	oppervlakte
rest	Rivieren	16126486	lengte
rest	Stilstaande wateren	4933	oppervlakte
rest	Stedelijk en bebouwd gebied	389807	oppervlakte
