naam	bosindex	regio	eu	kort
Ijsland	0.004903232	land	0	IS
Malta	0.0109375	land	1	MT
West-Nederland	0.044280586	regio	1	W-NL
Vlaams Gewest	0.102762045	regio	1	VL
Ierland	0.110252961	land	1	IE
Nederland	0.111605818	land	1	NL
Verenigd Konkrijk	0.129644138	land	0	GB
Oost-Nederland	0.14029074	regio	1	O-NL
Denemarken	0.142644455	land	1	DK
Zuid-Nederland	0.152216587	regio	1	Z-NL
Turkije	0.155183992	land	0	TR
Southeast England	0.157479577	regio	0	Se EN
Cyprus	0.187513572	land	1	CY
België	0.225321464	land	1	BE
Hongarije	0.230903917	land	1	HU
Nordrhein-Westfalen	0.260471502	regio	1	N-W
Île-de-France	0.267909731	regio	1	IdF
Roemenië	0.298200626	land	1	RO
Griekenland	0.298348876	land	1	GR
Polen	0.308142003	land	1	PL
Frankrijk	0.308834757	land	1	FR
Servië	0.310999314	land	0	RS
Zwitserland	0.313578395	land	0	CH
Italië	0.315035072	land	1	IT
Duitsland	0.327407747	land	1	DE
Luxemburg	0.334942085	land	1	LU
Croatia	0.339635978	land	1	HR
Comunidad de Madrid	0.344954551	regio	1	CdM
Tsjechië	0.34542994	land	1	CZ
Litouwen	0.347964884	land	1	LT
Portugal	0.350915307	land	1	PT
Bulgarije	0.352675277	land	1	BG
Spanje	0.366678015	land	1	ES
Lichtenstein	0.3875	land	0	LI
Slowakije	0.395595432	land	1	SK
Noord-Macedonië	0.396443196	land	0	MK
Noorwegen	0.398119844	land	0	NO
Bosnië en Herzegovina	0.413166634	land	0	BA
Ostösterreich	0.415510516	regio	1	Ost
Hessen	0.422426094	regio	1	Hes
Oostenrijk	0.469481859	land	1	AT
Estland	0.51391895	land	1	EE
Letland	0.539463109	land	1	LV
Montenegro	0.61470632	land	0	ME
Slovenië	0.619662363	land	1	SI
Zweden	0.689178573	land	1	SE
Finland	0.731119813	land	1	FI
