t	aantal	Stratum	StratumNaam	REVIEWED
( NA,1 )	12	PROV	LMB	TRUE
( 0,0 )	1	PROV	OVL	TRUE
( 0,1 )	62	PROV	OVL	TRUE
( 0,NA )	7	PROV	OVL	TRUE
( 1,0 )	56	PROV	OVL	TRUE
( 1,1 )	250	PROV	OVL	TRUE
( 1,NA )	6	PROV	OVL	TRUE
( NA,0 )	4	PROV	OVL	TRUE
( NA,1 )	10	PROV	OVL	TRUE
( 0,0 )	1	PROV	VBR	TRUE
( 0,1 )	80	PROV	VBR	TRUE
( 0,NA )	9	PROV	VBR	TRUE
( 1,0 )	60	PROV	VBR	TRUE
( 1,1 )	404	PROV	VBR	TRUE
( 1,NA )	9	PROV	VBR	TRUE
( NA,0 )	11	PROV	VBR	TRUE
( NA,1 )	13	PROV	VBR	TRUE
( NA,NA )	1	PROV	VBR	TRUE
( 0,1 )	40	PROV	WVL	TRUE
( 0,NA )	2	PROV	WVL	TRUE
( 1,0 )	22	PROV	WVL	TRUE
( 1,1 )	103	PROV	WVL	TRUE
( 1,NA )	2	PROV	WVL	TRUE
( NA,0 )	3	PROV	WVL	TRUE
( NA,1 )	3	PROV	WVL	TRUE
( 0,0 )	23798	PROV	NA	TRUE
( 0,0 )	23798	NA	NA	FALSE
( 0,1 )	455	NA	NA	FALSE
( 0,NA )	30	NA	NA	FALSE
( 1,0 )	485	NA	NA	FALSE
( 1,1 )	2222	NA	NA	FALSE
( 1,NA )	25	NA	NA	FALSE
( NA,0 )	57	NA	NA	FALSE
( NA,1 )	86	NA	NA	FALSE
( NA,NA )	5	NA	NA	FALSE
( 0,1 )	142	PROV	ANT	FALSE
( 0,NA )	10	PROV	ANT	FALSE
( 1,0 )	188	PROV	ANT	FALSE
( 1,1 )	693	PROV	ANT	FALSE
( 1,NA )	4	PROV	ANT	FALSE
( NA,0 )	28	PROV	ANT	FALSE
( NA,1 )	48	PROV	ANT	FALSE
( NA,NA )	4	PROV	ANT	FALSE
( 0,1 )	132	PROV	LMB	FALSE
( 0,NA )	2	PROV	LMB	FALSE
( 1,0 )	157	PROV	LMB	FALSE
( 1,1 )	771	PROV	LMB	FALSE
( 1,NA )	4	PROV	LMB	FALSE
( NA,0 )	11	PROV	LMB	FALSE
( NA,1 )	12	PROV	LMB	FALSE
( 0,1 )	62	PROV	OVL	FALSE
( 0,NA )	7	PROV	OVL	FALSE
( 1,0 )	57	PROV	OVL	FALSE
( 1,1 )	250	PROV	OVL	FALSE
( 1,NA )	6	PROV	OVL	FALSE
( NA,0 )	4	PROV	OVL	FALSE
( NA,1 )	10	PROV	OVL	FALSE
( 0,1 )	79	PROV	VBR	FALSE
( 0,NA )	9	PROV	VBR	FALSE
( 1,0 )	61	PROV	VBR	FALSE
( 1,1 )	405	PROV	VBR	FALSE
( 1,NA )	9	PROV	VBR	FALSE
( NA,0 )	11	PROV	VBR	FALSE
( NA,1 )	13	PROV	VBR	FALSE
( NA,NA )	1	PROV	VBR	FALSE
( 0,1 )	40	PROV	WVL	FALSE
( 0,NA )	2	PROV	WVL	FALSE
( 1,0 )	22	PROV	WVL	FALSE
( 1,1 )	103	PROV	WVL	FALSE
( 1,NA )	2	PROV	WVL	FALSE
( NA,0 )	3	PROV	WVL	FALSE
( NA,1 )	3	PROV	WVL	FALSE
( 0,0 )	23798	PROV	NA	FALSE
( 0,0 )	23813	NA	NA	TRUE
( 0,1 )	460	NA	NA	TRUE
( 0,NA )	30	NA	NA	TRUE
( 1,0 )	462	NA	NA	TRUE
( 1,1 )	2227	NA	NA	TRUE
( 1,NA )	23	NA	NA	TRUE
( NA,0 )	57	NA	NA	TRUE
( NA,1 )	86	NA	NA	TRUE
( NA,NA )	5	NA	NA	TRUE
( 0,0 )	7	PROV	ANT	TRUE
( 0,1 )	144	PROV	ANT	TRUE
( 0,NA )	10	PROV	ANT	TRUE
( 1,0 )	175	PROV	ANT	TRUE
( 1,1 )	698	PROV	ANT	TRUE
( 1,NA )	3	PROV	ANT	TRUE
( NA,0 )	28	PROV	ANT	TRUE
( NA,1 )	48	PROV	ANT	TRUE
( NA,NA )	4	PROV	ANT	TRUE
( 0,0 )	6	PROV	LMB	TRUE
( 0,1 )	134	PROV	LMB	TRUE
( 0,NA )	2	PROV	LMB	TRUE
( 1,0 )	149	PROV	LMB	TRUE
( 1,1 )	772	PROV	LMB	TRUE
( 1,NA )	3	PROV	LMB	TRUE
( NA,0 )	11	PROV	LMB	TRUE
