Landgebruik	bodemkoolstof	bodemerosie	bodemverdichting	gewasbescherming	nitraatresidu	bodemafdichting	totaal	klasse
aardappelen	4	4	5	5	5		4.6	zeer intensief
akker andere bwk	4	4	4	3	3		3.6	intensief
alluviaal bos	1	1	1	1	1		1	extensief
ander open duinlandschap	1	5	2	1	1		2	matig intensief
bieten	3	4	5	5	2		3.8	intensief
braak	1	3	3	1	1		1.8	extensief
cichorei	5	4	4	3	3		3.8	intensief
cultuurgrasland blijvend	1.5	2	5	2	2		2.5	matig intensief
gebouw						5	5	zeer intensief
gesloten duinlandschap	1	1	1	1	1		1	extensief
graan	1	4	4	3	3		3	intensief
grasland voedselarm droog	1	2	1	1	1		1.2	extensief
grasland voedselarm nat	1	2	2	1	1		1.4	extensief
grasland voedselrijk droog	1	2	2	1	1		1.4	extensief
grasland voedselrijk nat	1	2	2	1	1		1.4	extensief
graszoden						5	5	zeer intensief
groenbemester	3	3	3	3	2		2.8	matig intensief
groenten - peulvruchten	4	5	5	5	5		4.8	zeer intensief
heide 	1	2	2	1	1		1.4	extensief
helmduin	1	5	2	1	1		2	matig intensief
hoogstam	1	2	2	1	2		1.6	extensief
houtachtige gewassen	1	3	3	1	2		2	matig intensief
kleinfruit	4	5	5	5	3		4.4	zeer intensief
kolen	3	5	5	5	5		4.6	zeer intensief
korrelmais	1	5	5	2	4		3.4	intensief
korte omloophout	2	3	4	2	2		2.6	matig intensief
kruiden	4	5	5	5	5		4.8	zeer intensief
laagstam	1	3	4	5	3		3.2	intensief
loofbos	1	1	3	1	1		1.4	extensief
moeras	1	2	1	1	1		1.2	extensief
mosduin	1	3	2	1	1		1.6	extensief
naaldbos	1	1	3	1	1		1.4	extensief
noten	1	3	4	5	3		3.2	intensief
oliehoudende zaden	3	4	4	3	3		3.4	intensief
overig hoog groen	1	2	4	2	1		2	matig intensief
overig laag groen	1	3	4	2.5	2.5		2.6	matig intensief
overige gewassen	4	5	4	3	3		3.8	intensief
overige groenten	4	5	5	5	5		4.8	zeer intensief
permante graslanden (VEN, kwetsbaar gebied natuur)	1	2	4	2	1		2	matig intensief
populieren	1	1	4	1	1		1.6	extensief
rietland	1	2	1	1	1		1.2	extensief
ruigte	1	2	2	1	1		1.4	extensief
serregroenten						5	5	zeer intensief
sierteelt	4	5	4	5	5		4.6	zeer intensief
slik of schorre	1	5	1	1	1		1.8	extensief
snijmais	3	5	5	2	4		3.8	intensief
spoorweg						5	5	zeer intensief
strand	1	5	2	1	1		2	matig intensief
struweel	1	1	3	1	1		1.4	extensief
tijdelijk gras	2	3	5	2	2		2.8	matig intensief
vlas en hennep	5	4	4	3	3		3.8	intensief
voeder - peulvruchten	3	5	4	3	3		3.6	intensief
voeder -vlinderbloemige (incl menging gras)	2	2	4	3	3		2.8	matig intensief
voedergewassen andere	4	5	4	3	3		3.8	intensief
water						2	2	matig intensief
weg						5	5	zeer intensief
