jaar	salzone	ecotoopgroep	opp
2001	Brak variabel	ondiep subtidaal	210.9150047
2001	Brak variabel	schor	168.7703763
2001	Brak variabel	slik	470.700098
2010	Brak variabel	ondiep subtidaal	215.0461296
2010	Brak variabel	schor	174.4803828
2010	Brak variabel	slik	452.0386328
2010	Zoet	ondiep subtidaal	145.1576114
2010	Zoet	schor	456.1313479
2010	Zoet	slik	282.8992596
2010	Zwak brak	ondiep subtidaal	95.82961646
2010	Zwak brak	schor	144.658
2010	Zwak brak	slik	184.763183
2012	Brak variabel	ondiep subtidaal	222.46075
2012	Brak variabel	schor	178.3789962
2012	Brak variabel	slik	451.4762168
2013	Brak variabel	ondiep subtidaal	220.5144698
2013	Brak variabel	schor	183.7807396
2013	Brak variabel	slik	458.5014583
2013	Zoet	ondiep subtidaal	161.2980306
2013	Zoet	schor	511.8533632
2013	Zoet	slik	255.635745
2013	Zwak brak	ondiep subtidaal	93.46850161
2013	Zwak brak	schor	160.1814808
2013	Zwak brak	slik	188.2101296
2014	Brak variabel	ondiep subtidaal	210.2585396
2014	Brak variabel	schor	181.9247939
2014	Brak variabel	slik	470.1536943
2015	Brak variabel	ondiep subtidaal	221.208667
2015	Brak variabel	schor	183.397499
2015	Brak variabel	slik	461.8645452
2016	Brak variabel	ondiep subtidaal	221.3143336
2016	Brak variabel	schor	187.1732645
2016	Brak variabel	slik	456.6427005
2016	Zoet	ondiep subtidaal	159.9029081
2016	Zoet	schor	503.7150982
2016	Zoet	slik	274.3863185
2016	Zwak brak	ondiep subtidaal	93.89662147
2016	Zwak brak	schor	194.3055538
2016	Zwak brak	slik	189.0288344
2017	Brak variabel	ondiep subtidaal	220.6333545
2017	Brak variabel	schor	187.2694937
2017	Brak variabel	slik	452.1252074
2018	Brak variabel	ondiep subtidaal	216.3105394
2018	Brak variabel	schor	188.4527047
2018	Brak variabel	slik	464.5343185
2007	Zout variabel	ondiep subtidaal	11.77711
2007	Zout variabel	schor	9.71655
2007	Zout variabel	slik	33.57435
2017	Zout variabel	ondiep subtidaal	11.48728
2017	Zout variabel	schor	13.65811
2017	Zout variabel	slik	29.80309
