Orde	Leeftijdsgroep	Gender	Aantal	Gemiddelde.BMI	BMI.per.geslacht	Lengte..m.	Gewicht..kg.pers.	Biomassa..kg.
1	0-4 jaar	Mannen	170.810				12	1.998.477
22	0-4 jaar	Vrouwen	163.579				11	1.799.369
3	10-14 jaar	Mannen	191.162				42	7.952.339
24	10-14 jaar	Vrouwen	182.110				42	7.648.620
21	100+	Mannen	164	25.7	26.2	1.72	77.52	12.714
42	100+	Vrouwen	829	25.7	25	2	64	53.187
4	15-19 jaar	Mannen	178.959				65	11.596.543
25	15-19 jaar	Vrouwen	169.821				58	9.815.654
5	20-24 jaar	Mannen	189.270	23	23.45	1.8	75.98	14.380.957
26	20-24 jaar	Vrouwen	182.458	23	22	1.66	62	11.246.527
6	25-29 jaar	Mannen	205.751	24.2	24.67	1.79	79.06	16.266.591
27	25-29 jaar	Vrouwen	202.637	24.2	24	1.65	66	13.350.637
7	30-34 jaar	Mannen	203.767	24.2	24.67	1.79	79.06	16.109.737
28	30-34 jaar	Vrouwen	203.511	24.2	24	1.65	66	13.408.220
8	35-39 jaar	Mannen	212.425	25.3	25.8	1.78	81.73	17.361.983
29	35-39 jaar	Vrouwen	211.663	25.3	25	1.64	68	14.403.007
9	40-44 jaar	Mannen	210.129	25.3	25.8	1.78	81.73	17.174.325
30	40-44 jaar	Vrouwen	207.892	25.3	25	1.64	68	14.146.402
10	45-49 jaar	Mannen	219.605	26	26.51	1.77	83.05	18.238.758
31	45-49 jaar	Vrouwen	215.211	26	25	1.63	69	14.866.647
2	5-9 jaar	Mannen	189.138				24	4.614.967
23	5-9 jaar	Vrouwen	180.419				24	4.293.972
11	50-54 jaar	Mannen	236.679	26	26.51	1.77	83.05	19.656.798
32	50-54 jaar	Vrouwen	229.304	26	25	1.63	69	15.840.183
12	55-59 jaar	Mannen	242.367	26.5	27.02	1.76	83.7	20.285.133
33	55-59 jaar	Vrouwen	238.119	26.5	26	1.62	70	16.560.367
13	60-64 jaar	Mannen	217.265	26.5	27.02	1.76	83.7	18.184.198
34	60-64 jaar	Vrouwen	217.561	26.5	26	1.62	70	15.130.628
14	65-69 jaar	Mannen	183.975	27	27.53	1.75	84.31	15.510.716
35	65-69 jaar	Vrouwen	189.074	27	26	1.61	70	13.232.665
15	70-74 jaar	Mannen	158.846	27	27.53	1.75	84.31	13.392.119
36	70-74 jaar	Vrouwen	171.121	27	26	1.61	70	11.976.194
16	75-79 jaar	Mannen	109.977	25.7	26.2	1.74	79.33	8.725.025
37	75-79 jaar	Vrouwen	129.427	25.7	25	1.6	66	8.515.261
17	80-84 jaar	Mannen	87.592	25.7	26.2	1.74	79.33	6.949.111
38	80-84 jaar	Vrouwen	118.510	25.7	25	1.6	66	7.797.010
18	85-89 jaar	Mannen	51.806	25.7	26.2	1.73	78.43	4.062.923
39	85-89 jaar	Vrouwen	86.171	25.7	25	1.59	65	5.598.717
19	90-94 jaar	Mannen	17.571	25.7	26.2	1.73	78.43	1.378.018
40	90-94 jaar	Vrouwen	39.158	25.7	25	1.59	65	2.544.180
20	95-99 jaar	Mannen	3.240	25.7	26.2	1.72	77.52	251.170
41	95-99 jaar	Vrouwen	10.070	25.7	25	1.58	64	646.066
