Ecosysteem	Jaar	Extent
Akker	2013	4679.2484
Akker	2016	4707.9144
Bos en houtige vegetatie	2013	1478.7494
Bos en houtige vegetatie	2016	1479.4151
Grasland	2013	2551.4035
Grasland	2016	2431.0999
Heide en landduin	2013	87.2463
Heide en landduin	2016	96.222
Marien - estuarium	2013	55.3964
Marien - estuarium	2016	55.8012
Marien - zee	2013	3467.1222
Marien - zee	2016	3467.1125
Moeras	2013	20.2998
Moeras	2016	20.7498
Stedelijk en bebouwd gebied	2013	4445.453
Stedelijk en bebouwd gebied	2016	4517.2304
Strand en kustduin	2013	41.374
Strand en kustduin	2016	41.7091
Zoetwater	2013	260.3165
Zoetwater	2016	269.3551
