product	voetafdruk_ha	voetafdruktype
Natuurlijk rubber	26929.06183	consumptie
Koffie	101448.2607	consumptie
Palmolie	238604.8273	consumptie
Rundsvlees en leder	443729.3267	consumptie
Cacao	604640.0552	consumptie
Soja	619265	consumptie
Hout en papier	1777993.568	consumptie
Natuurlijk rubber	21591	consumptie met hoog ontbossingsrisico
Koffie	73896	consumptie met hoog ontbossingsrisico
Rundsvlees en leder	83863	consumptie met hoog ontbossingsrisico
Palmolie	212104	consumptie met hoog ontbossingsrisico
Hout en papier	294559	consumptie met hoog ontbossingsrisico
Cacao	392688	consumptie met hoog ontbossingsrisico
Soja	398793	consumptie met hoog ontbossingsrisico
