teeltgroep	teelt	effectief_organische_koolstof	klasse	score
aardappelen		0,47	0,4 - 0,6	4
akker_bwk				4
bieten	voeder- en suikerbieten	0,73 - 0,81	0,6 - 0,8	3
cichorei		0,27	< 0,4	5
granen	spelt, rogge, haver, zomertarwe, triticale, wintertarwe en -gerst (met/zonder afvoer stro)	1,01 tem 1,66	> 1	1
groenbemester	snijrogge, facelia, gele mosterd en Japanse haver	0,51, 0,56, 0,63 en 1,2 (gem. 0.73)	0,6 - 0,8	3
groenten - peulvruchten	stamsla, veld en bruine bonen	0,46, 0,46 en 0,47	0,4 - 0,6	4
kolen	bloemkolen, witte kolen, broccoli, savooikolen, spruitkolen en rode kolen	0,47, 0,53, 0,54, 0,66, 0,72 en 0,73 (gem: 0,61	0,6 - 0,8	3
koolzaad	zomer- en winterkoolzaad	0,64 - 0,70	0,6 - 0,8	3
korrelmaïs		1,33	> 1	1
overig 				4
overige groenten	witloofwortels, wortels, rapen, prei, knolselder en asperge 1 jaar	0,27, 0,37, 0,37, 0,38, 0,55 en 0,57 (gem: 0,42)	0,4 - 0,6	4
sierteelt				4
snijmaïs		0,64	0,6 - 0,8	3
tijdelijk gras		0,89	0,8 - 1	2
vlas	zaad- en vezelvlas	0,15 - 0,18	< 0,4	5
voeder - peulvruchten	erwten droog geoogst	0,77	0,6 - 0,8	3
voeder - vlinderbloemige	witte en rode klaver	0,69 - 0,93	0,8 - 1	2
