teeltcode	teeltgroep	gewassen
1	aardappelen	
2	andere nijverheidsgewassen	hop en tabak
3	begraasde biet-landbouwgrond met overeenkomst	
4	braak	spontane bedekking, niet ingezaaid akkerland, bloemen-, fauna- en graskruidenmengsels
5	cichorei	
6	tijdelijk cultuurgrasland	
7	gebouw	
8	graan	gerst, rogge, tarwe, boekweit, gierst, spelt, triticale, haver, sorghum, quinoa en mengkoren
9	natuurlijk grasland < 5 jaar	
10	graszoden	
11	groenbemester	gele mosterd, sareptamosterd, japanse haver, soedangras, phacelia, mengsels van groenbedekkers
12	groenten - peulvruchten	erwten, flageolets, snijbonen, sojabonen, stamslabonen, tuin- en veldbonen
13	heide in natuurbeheer	
14	hoogstam	meerjarige fruitteelt - hoogstam en tuin met hoogstam
15	houtige gewassen	bebossing en bomen in groep
16	houtkanten en houtwallen <= 10 m breed	
17	kleinfruit	aardbeien, druiven, frambozen, braam-, kiwi-, stekel-, rode, witte en zwarte bessen, wijnstokken en andere eenjarige fruitteelten
18	kolen	brocolli, bloem-, boeren-, savooi-, spruit-, rode, witte en Chinese kool
19	korte omloophout	wijmen- en andere bebossing (korte omloophout)
20	kruiden	bascilicum, peterselie, bieslook, geneeskrachtige en aromatische planten en kruiden en andere kruiden
21	laagstam en noten	
22	mais	
23	oliehoudende zaden	koolzaad, raapzaad, zonnebloempitten en andere oliehoudende zaden24onverharde landingsbaan of veiligheidszones25overige gewassenandere bedekking, engelwortel, niet nader omschreven gewas, teelt niet vast te stellen, niet eetbare tuinbouwgewassen, blanco gewascode en volkstuinparken26overige groentenandijvie, artisjok, bladrammenas, blad-, groene en bleekselder, pompen, courgette, rabarber, spinazie en andere groenten27poelen28prei29serregroentenaubergines, krop-, ijsberg-, raket- en veldsla, kervel, tomaten, komkommer, paprika en champignons30sierteelt31suikerbieten32ander tijdelijk grasFestulolium, gras in onderzaai, miscanthus, Westerwolds, Engels en Italiaans raaigras en snijrogge33vlas en hennep34voeder - peulvruchtenvoedererwten, tuin- en veldbonen (niet menselijke consumptie)35voeder - vlinderbloemige (invlusief menging met grasklaver, luzerne, grasklaver, grasluzerne, wikke en mengsels36voederbieten37voedergewassen anderevoederkool, -rapen en -wortelen en andere voedergewassen38weiland met bomen < 5 jaar39witloof40wortel- en knolgroentenvenkel, ajuin, asperge, knolselder, koolraap, koolrabi, pastinaak, raap, radijs, rammenas, rode biet, schorseneer, wortel en sjalot41niet begraasde natuurgrond56blijvend grasland59natuurlijk grasland (min 5 jaar)88weiland met bomen (min 5 jaar
24	onverharde landingsbaan of veiligheidszones	
25	overige gewassen	andere bedekking, engelwortel, niet nader omschreven gewas, teelt niet vast te stellen, niet eetbare tuinbouwgewassen, blanco gewascode en volkstuinparken
26	overige groenten	andijvie, artisjok, bladrammenas, blad-, groene en bleekselder, pompen, courgette, rabarber, spinazie en andere groenten
27	poelen	
28	prei	
29	serregroenten	aubergines, krop-, ijsberg-, raket- en veldsla, kervel, tomaten, komkommer, paprika en champignons
30	sierteelt	
31	suikerbieten	
32	ander tijdelijk gras	festulolium, gras in onderzaai, miscanthus, Westerwolds, Engels en Italiaans raaigras en snijrogge
33	vlas en hennep	
34	voeder - peulvruchten	voedererwten, tuin- en veldbonen (niet menselijke consumptie)
35	voeder - vlinderbloemige (invlusief menging met gras	klaver, luzerne, grasklaver, grasluzerne, wikke en mengsels
36	voederbieten	
37	voedergewassen andere	voederkool, -rapen en -wortelen en andere voedergewassen
38	weiland met bomen < 5 jaar	
39	witloof	
40	wortel- en knolgroenten	venkel, ajuin, asperge, knolselder, koolraap, koolrabi, pastinaak, raap, radijs, rammenas, rode biet, schorseneer, wortel en sjalot41niet begraasde natuurgrond56blijvend grasland59natuurlijk grasland (min 5 jaar)88weiland met bomen (min 5 jaar
41	niet begraasde natuurgrond	
56	blijvend grasland	
59	natuurlijk grasland (min 5 jaar)	
88	weiland met bomen (min 5 jaar	
