teeltgroep	teelten	effectief_organische_koolstof	klasse	score
aardappelen		0,47	0,4 - 0,6	4
bieten	voeder- en suikerbieten	0,73 - 0,81	0,6 - 0,8	3
granen	Spelt, rogge, haver, zomertarwe, triticale, wintertarwe en -gerst (met/zonder afvoer stro)	1,01 tem 1,66	> 1	1
groenten open lucht	Bloemkolen, witte kolen, broccoli, savooikolen, spruitkolen, rode kolen, stamsla, veld en bruine bonen, witloofwortels, wortels, rapen, prei, knolselder en asperge 1 jaar	0,47, 0,53, 0,54, 0,66, 0,72, 0,73, 0,46, 0,46, 0,47, 0,27, 0,37, 0,37, 0,38, 0,55 en 0,57 (gem: 0,5)	0,4 - 0,6	3
korrelmaïs		1,33	> 1	1
oliehoudende gewassen	zomer- en winterkoolzaad	0,64 - 0,70	0,6 - 0,8	3
overig				4
Overig voeder	witte en rode klaver, erwten droog geoogst	0,69, 0,77 en 0,93	0,8 - 1	2
overige nijverheidsgewassen	zaad- en vezelvlas en cichorei	0,15, 0,18, 0,27	< 0,4	5
sierteelt				4
snijmaïs		0,64	0,6 - 0,8	3
tijdelijk gras		0,89	0,8 - 1	2
