teeltgroep	gewassen
aardappelen	
aardbeien (niet doorlevende fruitteelt, in open lucht)	
andere blijvende teelten (wijnaanplantingen)	
andere nijverheidgewassen	cichorei, vlas, landbouwzaden, tabak, hop, hennep, miscanthus en geneeskrachtige en aromatische planten en kruiden
boomgaarden	appel, peer, kers, pruim, hazelnoot, walnoot en andere
Boomkwekerijen in openlucht	
braakland	
graan	winter- en zomertarwe, winter- en zomergerst, haver en mengsels van zomergranen, spelt, triticale, rogge en masteluin
groenten in open lucht	
kleinfruit open lucht	
korrelmais	
oliehoudende gewassen	kool- en raapzaad en andere oliehoudende gewassen
oppervlakte steeds bedekt met blijvend grasland	
overige voedergewassen	andere éénjarige voedergewassen dan maïs, andere wortel- en knolgewassen, groenvoeders, voedererwten en vlinderbloemigen
peulvruchten droog geoogst	
sierteelt open lucht	
suikerbieten	
teelten in serres	tuinbouwplanten en zaden in serres, verse groenten in serres, sierteelt in serres, boomkwekerijen in serres, fruitteelt in serres en andere niet genoemde teelten in serres
tijdelijke weiden	
tuinbouwzaden en -planten open lucht	
voederbieten	
voedermais	
